Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,177.830002,182.940002,154.699997,174.779999,173.506546,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,163.916916,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,173.558640,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,156.700729,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,147.943802,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,136.096451,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,161.768814,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,156.502945,1510239600
2022-09-01,156.639999,164.259995,138.000000,138.199997,137.760773,2084722800
2022-10-01,138.210007,157.500000,134.369995,153.339996,152.852661,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,147.559555,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,129.731918,1675657600
