Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,335.350006,338.000000,276.049988,310.980011,307.323395,947531400
2022-02-01,310.410004,315.119995,271.519989,298.790009,295.276703,697050600
2022-03-01,296.399994,315.950012,270.000000,308.309998,305.314758,734334200
2022-04-01,309.369995,315.109985,270.000000,277.519989,274.823853,627343400
2022-05-01,277.709991,290.880005,246.440002,271.869995,269.228760,742902000
2022-06-01,275.200012,277.690002,241.509995,256.829987,254.927261,621372300
2022-07-01,256.390015,282.000000,245.940002,280.739990,278.660095,534891800
2022-08-01,277.820007,294.179993,260.660004,261.470001,259.532898,477157600
2022-09-01,258.869995,267.450012,232.729996,232.899994,231.665237,575586600
2022-10-01,235.410004,251.039993,219.130005,232.130005,230.899323,671225100
2022-11-01,234.600006,255.330002,213.429993,255.139999,253.787338,615296000
2022-12-01,253.869995,263.920013,233.869995,239.820007,239.220825,591351000
